학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
전학년|성서와인간이해|교필127|교필|127|2|2|김진욱|0001|55|월|09:00|10:50|Y2508|
전학년|성서와인간이해|교필127|교필|127|2|2|김준|0002|55|월|11:00|12:50|Y9006|
전학년|성서와인간이해|교필127|교필|127|2|2|김진욱|0003|55|월|15:00|16:50|Y2508|
전학년|성서와인간이해|교필127|교필|127|2|2|김진욱|0004|55|화|15:00|16:50|Y2532|
전학년|성서와인간이해|교필127|교필|127|2|2|김성수|0005|55|화|09:00|10:50|Y2526|온라인(블렌디드러닝)
전학년|성서와인간이해|교필127|교필|127|2|2|김주헌|0006|55|수|09:00|10:50|Y9001|온라인(블렌디드러닝)
전학년|성서와인간이해|교필127|교필|127|2|2|박용수|0007|50|수|11:00|12:50|Y8114|유학생대상(한국인 수강불가)
전학년|성서와인간이해|교필127|교필|127|2|2|김주헌|0008|55|수|13:00|14:50|Y9001|온라인(블렌디드러닝)
전학년|성서와인간이해|교필127|교필|127|2|2|김성수|0009|55|수|09:00|10:50|Y2526|온라인(블렌디드러닝)
전학년|성서와인간이해|교필127|교필|127|2|2|지상태|0010|55|수|15:00|16:50|Y2535|
전학년|성서와인간이해|교필127|교필|127|2|2|홍민기|0011|56|목|10:00|11:50|Y2532|온라인(블렌디드러닝)
전학년|성서와인간이해|교필127|교필|127|2|2|홍민기|0012|55|목|13:00|14:50|Y2532|
전학년|채플|교필101|교필|101|0|1|교목실|0013|700|월|11:00|11:50|Y22217|N/P과목
전학년|채플|교필101|교필|101|0|1|교목실|0014|700|월|12:00|12:50|Y22217|N/P과목
전학년|채플|교필101|교필|101|0|1|교목실|0015|700|화|11:00|11:50|Y22217|N/P과목
전학년|채플|교필101|교필|101|0|1|교목실|0016|700|화|12:00|12:50|Y22217|N/P과목
전학년|채플|교필101|교필|101|0|1|교목실|0017|700|수|11:00|11:50|Y22217|N/P과목
전학년|채플|교필101|교필|101|0|1|교목실|0018|700|수|12:00|12:50|Y22217|N/P과목
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|김준|0019|55|월|13:00|14:50|Y9006|
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|김준|0020|55|월|09:00|10:50|Y9006|
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|홍민기|0021|55|월|15:00|16:50|Y2532|
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|김진욱|0022|55|화|09:00|10:50|Y2532|
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|김주헌|0023|55|화|15:00|16:50|Y9001|
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|김진욱|0024|55|수|15:00|16:50|Y2532|
전학년|현대사회와기독교윤리|교필102|교필|102|2|2|지상태|0025|55|수|13:00|14:50|Y2535|
전학년|종교와과학|교필103|교필|103|2|2|김성수|0026|55|월|09:00|10:50|Y2511|
전학년|종교와과학|교필103|교필|103|2|2|김성수|0027|55|월|15:00|16:50|Y2511|
전학년|글쓰기|교필104|교필|104|3|3|이유림|0028|35|목|13:00|15:50|Y8107|외국인학생 전용강좌
전학년|글쓰기|교필104|교필|104|3|3|김현양|0029|30|월|13:00|14:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0029|30|수|14:00|14:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0030|30|월|15:00|16:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0030|30|수|15:00|15:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0031|30|화|10:00|11:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0031|30|목|10:00|10:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0032|30|화|13:00|14:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0032|30|목|14:00|14:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0033|30|화|15:00|16:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김현양|0033|30|목|15:00|15:50|Y117|
전학년|글쓰기|교필104|교필|104|3|3|김인옥|0034|30|월|11:00|11:50|Y9501|
전학년|글쓰기|교필104|교필|104|3|3|김인옥|0034|30|수|10:00|11:50|Y9501|
전학년|글쓰기|교필104|교필|104|3|3|김인옥|0035|30|월|12:00|12:50|Y9501|
전학년|글쓰기|교필104|교필|104|3|3|김인옥|0035|30|수|12:00|13:50|Y9501|
전학년|글쓰기|교필104|교필|104|3|3|오은엽|0036|30|월|15:00|15:50|Y2529|
전학년|글쓰기|교필104|교필|104|3|3|오은엽|0036|30|수|15:00|16:50|Y2529|
전학년|글쓰기|교필104|교필|104|3|3|오은엽|0037|30|화|12:00|13:50|Y9501|
전학년|글쓰기|교필104|교필|104|3|3|오은엽|0037|30|목|12:00|12:50|Y9501|
전학년|글쓰기|교필104|교필|104|3|3|남수경|0038|31|화|10:00|11:50|Y9232|
전학년|글쓰기|교필104|교필|104|3|3|남수경|0038|31|목|11:00|11:50|Y9232|
전학년|글쓰기|교필104|교필|104|3|3|남수경|0039|31|화|12:00|13:50|Y9232|
전학년|글쓰기|교필104|교필|104|3|3|남수경|0039|31|목|12:00|12:50|Y9232|
전학년|글쓰기|교필104|교필|104|3|3|남수경|0040|30|화|15:00|16:50|Y9232|
전학년|글쓰기|교필104|교필|104|3|3|남수경|0040|30|목|15:00|15:50|Y9232|
전학년|발표와토의|교필105|교필|105|3|3|김인옥|0041|30|월|13:00|14:50|Y9501|
전학년|발표와토의|교필105|교필|105|3|3|김인옥|0041|30|수|14:00|14:50|Y9501|
전학년|발표와토의|교필105|교필|105|3|3|오은엽|0042|30|화|11:00|11:50|Y9501|
전학년|발표와토의|교필105|교필|105|3|3|오은엽|0042|30|목|10:00|11:50|Y9501|
전학년|발표와토의|교필105|교필|105|3|3|오은엽|0043|30|화|14:00|14:50|Y9501|
전학년|발표와토의|교필105|교필|105|3|3|오은엽|0043|30|목|13:00|14:50|Y9501|
전학년|발표와토의|교필105|교필|105|3|3|남수경|0044|30|월|10:00|11:50|Y9232|
전학년|발표와토의|교필105|교필|105|3|3|남수경|0044|30|수|11:00|11:50|Y9232|
전학년|발표와토의|교필105|교필|105|3|3|남수경|0045|30|월|12:00|13:50|Y9232|
전학년|발표와토의|교필105|교필|105|3|3|남수경|0045|30|수|12:00|12:50|Y9232|
전학년|발표와토의|교필105|교필|105|3|3|구미리내|0046|30|화|10:00|12:50|Y9428|
전학년|발표와토의|교필105|교필|105|3|3|구미리내|0047|30|화|13:00|15:50|Y9428|
전학년|영어1|교필106|교필|106|2|2|엄용희|0048|31|화|10:00|10:50|Y9522|
전학년|영어1|교필106|교필|106|2|2|엄용희|0048|31|목|10:00|10:50|Y9522|
전학년|영어1|교필106|교필|106|2|2|엄용희|0049|31|화|11:00|11:50|Y9522|
전학년|영어1|교필106|교필|106|2|2|엄용희|0049|31|목|11:00|11:50|Y9522|
전학년|영어1|교필106|교필|106|2|2|서정아|0050|31|월|13:00|13:50|Y9524|
전학년|영어1|교필106|교필|106|2|2|서정아|0050|31|수|13:00|13:50|Y9524|
전학년|영어1|교필106|교필|106|2|2|서정아|0051|31|월|14:00|14:50|Y9524|
전학년|영어1|교필106|교필|106|2|2|서정아|0051|31|수|14:00|14:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|이보경|0052|32|화|11:00|11:50|Y9515|
전학년|영어2|교필107|교필|107|2|2|이보경|0052|32|목|11:00|11:50|Y9515|
전학년|영어2|교필107|교필|107|2|2|이보경|0053|32|화|12:00|12:50|Y9515|
전학년|영어2|교필107|교필|107|2|2|이보경|0053|32|목|12:00|12:50|Y9515|
전학년|영어2|교필107|교필|107|2|2|이보경|0054|32|화|14:00|14:50|Y9515|
전학년|영어2|교필107|교필|107|2|2|이보경|0054|32|목|14:00|14:50|Y9515|
전학년|영어2|교필107|교필|107|2|2|김희진|0055|32|화|11:00|11:50|Y9530|
전학년|영어2|교필107|교필|107|2|2|김희진|0055|32|목|11:00|11:50|Y9530|
전학년|영어2|교필107|교필|107|2|2|김희진|0056|32|화|12:00|12:50|Y9530|
전학년|영어2|교필107|교필|107|2|2|김희진|0056|32|목|12:00|12:50|Y9530|
전학년|영어2|교필107|교필|107|2|2|김희진|0057|32|화|14:00|14:50|Y9530|
전학년|영어2|교필107|교필|107|2|2|김희진|0057|32|목|14:00|14:50|Y9530|
전학년|영어2|교필107|교필|107|2|2|엄용희|0058|32|월|10:00|10:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0058|32|수|10:00|10:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0059|32|월|11:00|11:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0059|32|수|11:00|11:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0060|32|월|13:00|13:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0060|32|수|13:00|13:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0061|32|월|14:00|14:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0061|32|수|14:00|14:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0062|32|화|13:00|13:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄용희|0062|32|목|13:00|13:50|Y9522|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0063|32|월|11:00|11:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0063|32|수|11:00|11:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0064|32|월|12:00|12:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0064|32|수|12:00|12:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0065|32|월|14:00|14:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0065|32|수|14:00|14:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0066|32|월|15:00|15:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|엄혜영|0066|32|수|15:00|15:50|Y9528|
전학년|영어2|교필107|교필|107|2|2|서정아|0067|32|월|10:00|10:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0067|32|목|10:00|10:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0068|32|월|11:00|11:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0068|32|수|11:00|11:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0069|32|화|10:00|10:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0069|32|수|10:00|10:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0070|32|화|11:00|11:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|서정아|0070|32|목|11:00|11:50|Y9524|
전학년|영어2|교필107|교필|107|2|2|김은영|0071|32|화|10:00|10:50|Y9001|
전학년|영어2|교필107|교필|107|2|2|김은영|0071|32|목|10:00|10:50|Y9001|
전학년|영어2|교필107|교필|107|2|2|김은영|0072|32|화|11:00|11:50|Y9001|
전학년|영어2|교필107|교필|107|2|2|김은영|0072|32|목|11:00|11:50|Y9001|
전학년|영어2|교필107|교필|107|2|2|김은영|0073|30|화|18:40|20:15|Y9503|스포츠지도학전공 전용강좌
