학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
전학년|공학도를위한온디맨드(On Demand)경영|반아114|반아|114|3|3|노정란|0845|15|화|10:00|12:50|Y5219|반도체ICT대학 전용 강좌-오전반
전학년|공학도를위한온디맨드(On Demand)경영|반아114|반아|114|3|3|노정란|0846|15|화|14:00|16:50|Y5219|반도체ICT대학 전용 강좌-오후반
1|전기전자반도체전공탐색세미나|반아002|반아|002|1|1|조일환|0841|90|금|11:00|12:50|Y19122|집중이수제(반도체ICT대학 상반기 8주)-신입생 전용
1|공학입문설계|반아100|반아|100|3|3|정의훈|0842|75|화|10:00|10:50|Y19122|반도체ICT대학 전용 강좌
1|공학입문설계|반아100|반아|100|3|3|정의훈|0842|75|목|10:00|11:50|Y19122|반도체ICT대학 전용 강좌
1|공학입문설계|반아100|반아|100|3|3|김정수|0843|30|월|13:00|14:50|Y549|반도체ICT대학 전용 강좌
1|공학입문설계|반아100|반아|100|3|3|김정수|0843|30|수|14:00|14:50|Y549|반도체ICT대학 전용 강좌
1|공학입문설계|반아100|반아|100|3|3|김정수|0844|30|월|15:00|16:50|Y527|반도체ICT대학 전용 강좌
1|공학입문설계|반아100|반아|100|3|3|김정수|0844|30|수|16:00|16:50|Y527|반도체ICT대학 전용 강좌
4|융합캡스톤디자인2|융합136|융합|136|3|3|박강|0520|30|월|17:00|19:50|Y024|SEP융합전공 이수학생 전용 강좌(전기공학전공, 전자공학전공,기계공학전공)
