학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
2|팀프로젝트1|컴공212|컴공|212|3|3|안희철|0699|28|월|14:00|16:50|Y5441|
2|팀프로젝트1|컴공212|컴공|212|3|3|한승철|0700|30|월|17:00|19:50|Y5441|
2|팀프로젝트1|컴공212|컴공|212|3|3|한승철|0701|31|수|17:00|19:50|Y5441|
2|웹프로그래밍|컴공215|컴공|215|3|3|박주영|0702|41|화|12:00|13:50|Y5445|
2|웹프로그래밍|컴공215|컴공|215|3|3|박주영|0702|41|목|12:00|12:50|Y5445|
2|웹프로그래밍|컴공215|컴공|215|3|3|김상귀|0703|30|수|10:00|12:50|Y5401|
2|웹프로그래밍|컴공215|컴공|215|3|3|김상귀|0704|32|수|14:00|16:50|Y5401|
2|공개SW실무|컴공217|컴공|217|3|3|류연승|0705|45|월|10:00|11:50|Y5420|
2|공개SW실무|컴공217|컴공|217|3|3|류연승|0705|45|수|10:00|10:50|Y5420|
2|공개SW실무|컴공217|컴공|217|3|3|류연승|0706|40|월|13:00|14:50|Y5420|
2|공개SW실무|컴공217|컴공|217|3|3|류연승|0706|40|수|11:00|11:50|Y5420|
3|알고리즘|컴공316|컴공|316|3|3|이충기|0708|28|화|10:00|12:50|Y5401|
3|알고리즘|컴공316|컴공|316|3|3|박현민|0709|30|월|15:00|15:50|Y5420|
3|알고리즘|컴공316|컴공|316|3|3|박현민|0709|30|수|13:00|14:50|Y5420|
3|알고리즘|컴공316|컴공|316|3|3|조민경|0710|47|월|09:00|10:50|Y5445|
3|알고리즘|컴공316|컴공|316|3|3|조민경|0710|47|목|09:00|09:50|Y5445|
3|알고리즘|컴공316|컴공|316|3|3|김상귀|0711|37|월|17:00|19:50|Y5407|
3|시스템프로그래밍|컴공318|컴공|318|3|3|임영원|0712|30|화|13:00|14:50|Y5407|
3|시스템프로그래밍|컴공318|컴공|318|3|3|임영원|0712|30|목|14:00|14:50|Y5407|
3|시스템프로그래밍|컴공318|컴공|318|3|3|임영원|0713|30|화|15:00|16:50|Y5407|
3|시스템프로그래밍|컴공318|컴공|318|3|3|임영원|0713|30|목|15:00|15:50|Y5407|
3|데이터베이스설계|컴공322|컴공|322|3|3|김직수|0715|37|월|13:00|15:50|Y5437|
3|데이터베이스설계|컴공322|컴공|322|3|3|안희철|0716|31|월|13:00|13:50|Y5407|
3|데이터베이스설계|컴공322|컴공|322|3|3|안희철|0716|31|수|13:00|14:50|Y5407|
3|모바일프로그래밍|컴공423|컴공|423|3|3|현상원|0719|43|월|14:00|15:50|Y5445|
3|모바일프로그래밍|컴공423|컴공|423|3|3|현상원|0719|43|수|11:00|11:50|Y5445|
3|모바일프로그래밍|컴공423|컴공|423|3|3|박정민|0720|37|월|15:00|17:50|Y5411|
3|모바일프로그래밍|컴공423|컴공|423|3|3|박정민|0721|40|수|14:00|16:50|Y5437|
3|정보보안|컴공451|컴공|451|3|3|한승철|0729|40|월|11:00|11:50|Y5411|
3|정보보안|컴공451|컴공|451|3|3|한승철|0729|40|수|11:00|12:50|Y5411|
3|정보보안|컴공451|컴공|451|3|3|한승철|0730|40|월|13:00|14:50|Y5411|
3|정보보안|컴공451|컴공|451|3|3|한승철|0730|40|수|13:00|13:50|Y5411|
3|정보보안|컴공451|컴공|451|3|3|신민호|0731|35|화|10:00|11:50|Y5420|
3|정보보안|컴공451|컴공|451|3|3|신민호|0731|35|목|10:00|10:50|Y5420|
3|정보보안|컴공451|컴공|451|3|3|신민호|0732|35|화|13:00|14:50|Y5420|
3|정보보안|컴공451|컴공|451|3|3|신민호|0732|35|목|11:00|11:50|Y5420|
4|프로그래밍언어|컴공401|컴공|401|3|3|김성환|0717|45|월|18:00|20:50|Y5420|
4|프로그래밍언어|컴공401|컴공|401|3|3|김성환|0718|45|수|18:00|20:50|Y5420|
4|클라우드컴퓨팅|컴공454|컴공|454|3|3|김직수|0722|43|화|13:00|14:50|Y5437|
4|클라우드컴퓨팅|컴공454|컴공|454|3|3|김직수|0722|43|목|13:00|13:50|Y5437|
4|클라우드컴퓨팅|컴공454|컴공|454|3|3|김직수|0723|41|화|15:00|16:50|Y5437|
4|클라우드컴퓨팅|컴공454|컴공|454|3|3|김직수|0723|41|목|15:00|15:50|Y5437|
4|딥러닝|컴공407|컴공|407|3|3|조민경|0724|34|화|09:00|10:50|Y5437|
4|딥러닝|컴공407|컴공|407|3|3|조민경|0724|34|목|10:00|10:50|Y5437|
4|딥러닝|컴공407|컴공|407|3|3|조민경|0725|41|화|11:00|12:50|Y5437|
4|딥러닝|컴공407|컴공|407|3|3|조민경|0725|41|목|11:00|11:50|Y5437|
4|딥러닝|컴공407|컴공|407|3|3|김길래|0726|31|화|14:00|16:50|Y5401|
4|딥러닝|컴공407|컴공|407|3|3|김길래|0727|33|목|14:00|16:50|Y5401|
4|그래프신경망과빅데이터|컴공411|컴공|411|3|3|한승철|0728|33|월|16:00|16:50|Y5420|
4|그래프신경망과빅데이터|컴공411|컴공|411|3|3|한승철|0728|33|수|15:00|16:50|Y5420|
