학년,교과목명,과목코드,학과코드,과목번호,학점,시간,담당교수,강좌번호,제한인원,요일,시작시간,종료시간,강의실,비고
전학년,성서와인간이해,교필127,교필,127,2,2,김진욱,0001,55,월,09:00,10:50,Y2529,
전학년,성서와인간이해,교필127,교필,127,2,2,김성수,0003,55,화,09:00,10:50,Y2526,
전학년,성서와인간이해,교필127,교필,127,2,2,박용수,0005,50,수,09:00,10:50,Y2529,종교대학 전용강좌
전학년,성서와인간이해,교필127,교필,127,2,2,김주현,0006,55,수,09:00,10:50,Y2526,
전학년,성서와인간이해,교필127,교필,127,2,2,지상태,0007,55,수,13:00,14:50,Y2523,
전학년,성서와인간이해,교필127,교필,127,2,2,김주현,0008,55,수,15:00,16:50,Y2523,
전학년,성서와인간이해,교필127,교필,127,2,2,김진욱,1256,0,미입력,,,,계약학과 전용
전학년,채플,교필101,교필,101,0,1,교목실,0010,700,화,10:00,10:50,Y22217,N/P과목
전학년,채플,교필101,교필,101,0,1,교목실,0011,700,화,11:00,11:50,Y22217,N/P과목
전학년,채플,교필101,교필,101,0,1,교목실,0012,700,화,12:00,12:50,Y22217,N/P과목
전학년,채플,교필101,교필,101,0,1,교목실,0013,700,수,10:00,10:50,Y22217,N/P과목
전학년,현대사회와기독교윤리,교필102,교필,102,2,2,홍인기,0016,55,월,13:00,14:50,Y2523,
전학년,현대사회와기독교윤리,교필102,교필,102,2,2,김진욱,0018,55,화,09:00,10:50,Y2529,
전학년,현대사회와기독교윤리,교필102,교필,102,2,2,김준,0019,55,수,13:00,14:50,Y9010,
전학년,현대사회와기독교윤리,교필102,교필,102,2,2,김진욱,0020,55,수,15:00,16:50,Y2532,
전학년,현대사회와기독교윤리,교필102,교필,102,2,2,김주현,0021,51,화,15:00,16:50,Y3236,아너칼리지 전용강좌
전학년,종교와과학,교필103,교필,103,2,2,김성수,0024,55,월,09:00,10:50,Y2523,
전학년,종교와과학,교필103,교필,103,2,2,김성수,0025,55,월,11:00,12:50,Y2523,
전학년,글쓰기,교필104,교필,104,3,3,김현양,0027,30,월,13:00,14:50,Y1171,
전학년,글쓰기,교필104,교필,104,3,3,김현양,0028,30,월,15:00,16:50,Y1171,
전학년,글쓰기,교필104,교필,104,3,3,김현양,0029,30,화,10:00,11:50,Y1171,
전학년,글쓰기,교필104,교필,104,3,3,김인욱,0032,30,월,11:00,11:50,Y9501,
전학년,글쓰기,교필104,교필,104,3,3,오은영,0034,30,월,12:00,12:50,Y2529,
전학년,글쓰기,교필104,교필,104,3,3,남수경,0036,30,화,10:00,11:50,Y9232,
전학년,발표와토의,교필105,교필,105,3,3,인혜경,0040,35,수,12:00,14:50,Y9508,외국인학생 전용강좌
전학년,발표와토의,교필105,교필,105,3,3,김인욱,0041,30,월,14:00,15:50,Y9501,
전학년,발표와토의,교필105,교필,105,3,3,오은영,0042,30,화,12:00,12:50,Y2529,
전학년,발표와토의,교필105,교필,105,3,3,남수경,0044,30,월,11:00,12:50,Y9232,
전학년,발표와토의,교필105,교필,105,3,3,구미리내,0046,30,화,10:00,12:50,Y9428,
전학년,영어1,교필106,교필,106,2,2,이보경,0048,32,화,11:00,11:50,Y9515,
전학년,영어1,교필106,교필,106,2,2,김현진,0052,32,화,11:00,11:50,Y9530,
전학년,영어1,교필106,교필,106,2,2,엄홍희,0056,32,월,10:00,10:50,Y9522,
전학년,영어1,교필106,교필,106,2,2,엄혜영,0060,32,월,11:00,11:50,Y9528,
전학년,영어1,교필106,교필,106,2,2,서정아,0064,32,월,10:00,10:50,Y9524,
전학년,영어1,교필106,교필,106,2,2,서정아,0065,32,월,11:00,11:50,Y9524,
전학년,영어1,교필106,교필,106,2,2,서정아,0066,32,월,13:00,13:50,Y9524,
전학년,영어1,교필106,교필,106,2,2,김은영,0067,32,화,10:00,10:50,Y9501,
전학년,영어1,교필106,교필,106,2,2,김은영,0068,32,화,11:00,11:50,Y9501,
전학년,영어1,교필106,교필,106,2,2,서정아,1282,32,월,14:00,14:50,Y9524,
전학년,영어2,교필107,교필,107,2,2,김혁진,0070,32,월,11:00,11:50,Y9530,
전학년,영어2,교필107,교필,107,2,2,김혁진,0071,32,월,12:00,12:50,Y9530,
전학년,영어2,교필107,교필,107,2,2,김혁진,0072,32,월,14:00,14:50,Y9530,
전학년,영어2,교필107,교필,107,2,2,김혁진,0073,32,월,15:00,15:50,Y9530,
전학년,영어회화1,교필108,교필,108,1,2,데론,0074,21,월,10:00,10:50,Y9230,
전학년,영어회화1,교필108,교필,108,1,2,데론,0075,20,월,11:00,11:50,Y9230,
전학년,영어회화1,교필108,교필,108,1,2,데론,0076,20,월,12:00,12:50,Y9230,
전학년,영어회화1,교필108,교필,108,1,2,데론,0077,20,월,14:00,14:50,Y9230,
전학년,영어회화1,교필108,교필,108,1,2,데론,0078,20,월,15:00,15:50,Y9230,
전학년,영어회화1,교필108,교필,108,1,2,황혜리,0079,20,월,09:00,09:50,Y9201,
