영역,한글코드,교과목명,학점
1. 기독교의 이해와 삶,균기104,기독교와 합창,2
1. 기독교의 이해와 삶,균기113,기독교와 상담,2
1. 기독교의 이해와 삶,균기107,기독교와 성결혼가정,2
2. 인문과학,기인101,한국현대문학의이해,3
2. 인문과학,기인154,디지털시대의 토론 방법,3
2. 인문과학,기인102,한국사의 이해,3
2. 인문과학,기인156,배려의 소통기법,3
2. 인문과학,기인103,결혼과 가족,3
2. 인문과학,기인157,창의적 읽기와 소통적 쓰기,3
2. 인문과학,기인105,동양사의 이해,3
2. 인문과학,기인158,창의적프리젠테이션기법,3
2. 인문과학,기인106,서양사의 이해,3
2. 인문과학,기인159,Special Topics in English,3
2. 인문과학,기인107,인간심리의 이해,3
2. 인문과학,기인160,쉬운서양고전어,3
2. 인문과학,기인117,토론의 방법,3
2. 인문과학,기인161,언어논리 추론과 취업역량개발,3
2. 인문과학,기인120,아랍의 언어와 문화,3
2. 인문과학,기인162,농문화 이해와 한국수어의 실제,3
2. 인문과학,기인121,중국의 언어와 문화,3
2. 인문과학,기인163,배려의 행복학,3
2. 인문과학,기인122,역사란 무엇인가,3
2. 인문과학,기인164,동양의 지혜,3
2. 인문과학,기인123,철학 산책,3
2. 인문과학,기인165,서양의 지혜,3
2. 인문과학,기인124,일본의 언어와 문화,3
2. 인문과학,기인166,인류학으로 본 가족과 사랑,2
2. 인문과학,기인125,창조적 상상력과 인간,3
2. 인문과학,균인102,한국 문화와 사상,3
2. 인문과학,기인127,한국 문화와 문자생활,3
2. 인문과학,균인104,데이팅과 결혼,2
2. 인문과학,기인128,지식 정보 활용,3
2. 인문과학,균인106,영화로 보는 역사,3
2. 인문과학,기인130,아시아 공동체와 경제 문화,2
2. 인문과학,균인108,한자의 세계,3
2. 인문과학,기인135,한국 전통 문화의 이해,3
2. 인문과학,균인110,유럽 문화와 예술,2
2. 인문과학,기인138,애니어그램을 통한 자기발견,2
2. 인문과학,균인112,한국의 역사와 문화,3
2. 인문과학,기인139,장르 영화로 읽는 한국 사회,3
2. 인문과학,균인113,미학의 이해,2
2. 인문과학,기인140,중국 알아가기,3
2. 인문과학,균인119,지중해 문화여행,3
2. 인문과학,기인141,인문콘텐츠의 이해,3
2. 인문과학,균인125,심화 글쓰기 연습,3
2. 인문과학,기인142,인문데이터의 이해,3
2. 인문과학,균인126,문화가 흐르는 한자,2
2. 인문과학,기인143,아시아 역사와 문화,3
2. 인문과학,균인131,사랑의 인문학(KCU),3
2. 인문과학,기인146,문화콘텐츠의 감상과 비평,3
2. 인문과학,균인132,직무중심 글쓰기,3
2. 인문과학,기인147,행복의 심리학,3
2. 인문과학,균인133,영화로 세상 보기,3
2. 인문과학,기인150,현대사회와 배려 윤리,3
2. 인문과학,균인 134,테마로 이해하는 중국,3
2. 인문과학,기인152,콘텐츠 크리에이터의 이해와 콘텐츠 개발,3
2. 인문과학,균인 135,사랑의 기술,3
3.  문화와 예술,기문101,문화의 이론과 실제,3
3.  문화와 예술,기문215,영화 속의 문화기행,3
3.  문화와 예술,기문104,문학과 사회,3
3.  문화와 예술,기문216,아시아문화교류 커뮤니케이션,3
3.  문화와 예술,기문106,조형의 원리,3
3.  문화와 예술,기문217,문화 속 디자인여행(KCU),3
3.  문화와 예술,기문107,동양미술사 입문,3
3.  문화와 예술,기문218,문화콘텐츠와 스토리텔링,3
3.  문화와 예술,기문108,한국미술사 입문,3
3.  문화와 예술,기문219,문학과 상상력의 세계,3
3.  문화와 예술,기문109,서양미술사 입문,3
3.  문화와 예술,기문220,문화를 읽어주는 한자,3
3.  문화와 예술,기문110,색채학,3
3.  문화와 예술,기문221,음식으로 읽는 중국문학,3
3.  문화와 예술,기문111,디자인사,3
3.  문화와 예술,기문222,다채로운 음악세계의 이해,3
3.  문화와 예술,기문112,음악 감상법,3
3.  문화와 예술,기문223,쉽게 듣는 클래식 음악,3
3.  문화와 예술,기문113,디자인개론,3
3.  문화와 예술,기문224,기초댄스1,2
3.  문화와 예술,기문114,서양 건축사,3
3.  문화와 예술,기문225,영화로 배우는 현대음악,3
3.  문화와 예술,기문115,합창지휘,3
3.  문화와 예술,기문226,생각 담은 유럽 문화,3
3.  문화와 예술,기문122,영화와 예술,3
3.  문화와 예술,기문227,인류 문명과 기록문화로의 여행,3
3.  문화와 예술,기문123,현대사회와 영화,3
3.  문화와 예술,기문228,일본어로 배우는 일본의 사회와 문화,3
3.  문화와 예술,기문125,공간디자인 이해,3
3.  문화와 예술,기문229,모두 함께 배우는 글로벌 사회와 문화,3
3.  문화와 예술,기문126,미술사의 이해,3
3.  문화와 예술,기문231,세계음식문화,3
3.  문화와 예술,기문131,동서양미술과 미학,3
3.  문화와 예술,기문232,글로벌 미술사,3
3.  문화와 예술,기문132,건축학개론,2
3.  문화와 예술,기문233,이슬람문명의 역사와 문화기행,3
3.  문화와 예술,기문200,기초댄스1,2
3.  문화와 예술,기문236,사회문화와 디자인,3
3.  문화와 예술,기문201,기초댄스2,2
3.  문화와 예술,균문102,서양음악의 이해,2
3.  문화와 예술,기문202,뮤지컬음악의 이해1,2
3.  문화와 예술,균문105,국악의 이해,2
3.  문화와 예술,기문203,뮤지컬음악의 이해2,2
3.  문화와 예술,균문106,서양문학의 이해,3
3.  문화와 예술,기문205,중국지역 문화 탐구,3
3.  문화와 예술,균문117,사진 영상 미디어의 이해,3
3.  문화와 예술,기문207,뮤지컬 공연 감상,3
3.  문화와 예술,균문119,넓고 깊게 본 중국 사람 이야기,3
3.  문화와 예술,기문208,한국건축사,3
3.  문화와 예술,균문120,중국어 모르고도 떠나는 중국 자유여행,3
3.  문화와 예술,기문210,오페라의 감상과 이해,3
3.  문화와 예술,균문121,한국문학의 상상력과 문화콘텐츠,3
3.  문화와 예술,기문211,교향곡의 감상과 이해,3
3.  문화와 예술,균문122,영화제작에 대해 알고 싶은 모든 것(KCU),3
3.  문화와 예술,기문214,스페인 문화와 예술(KCU),3
4. 사회과학,기사101,법학개론,3
4. 사회과학,기사182,지구촌 이슈와 함께하는 세계시민교육,3
4. 사회과학,기사102,국제정치의 이해,3
4. 사회과학,기사183,진로와 인간관계를 위한 이미지메이킹,3
4. 사회과학,기사103,대중문화와 매스컴,3
4. 사회과학,기사184,플랫폼 시대 사회적기업과 공유경제,3
4. 사회과학,기사104,인터넷과 커뮤니케이션,3
4. 사회과학,기사185,시장경제와 기업,2
4. 사회과학,기사107,경상통계학,3
4. 사회과학,기사186,직무커뮤니케이션능력개발,2
4. 사회과학,기사108,현대사회와 정보,3
4. 사회과학,기사187,금융기관의 이해,3
4. 사회과학,기사109,행정학개론,3
4. 사회과학,기사188,창업사례연구,3
4. 사회과학,기사112,인간과 정치,3
4. 사회과학,기사190,창업시뮬레이션,3
4. 사회과학,기사113,인간관계와 커뮤니케이션,3
4. 사회과학,기사191,통합적커리어탐색:취업과창업,2
4. 사회과학,기사114,미시경제학원론,3
4. 사회과학,기사193,마케팅과 Ai·SW융합기술,3
4. 사회과학,기사115,거시경제학원론,3
4. 사회과학,기사194,AI·SW와 비지니스,2
4. 사회과학,기사116,청소년지도학,3
4. 사회과학,기사905,창업현장실습,5
4. 사회과학,기사118,지역사회복지론,3
4. 사회과학,기사906,창업현장실습,6
4. 사회과학,기사119,사회복지실천론,3
4. 사회과학,기사915,창업현장실습,15
4. 사회과학,기사120,기업과 경영,2
4. 사회과학,균사102,금융시장의 이해,3
4. 사회과학,기사121,사회복지개론,3
4. 사회과학,균사104,한국경제의 이해,3
4. 사회과학,기사122,인간행동과 사회환경,3
4. 사회과학,균사105,현대가족과 부모,2
4. 사회과학,기사123,경제학원론,3
4. 사회과학,균사106,한국정치의 이해,3
4. 사회과학,기사124,시장경제와 법,3
4. 사회과학,균사111,현대중국의 이해,2
4. 사회과학,기사125,직업생활과 법,3
4. 사회과학,균사117,현대일본의 이해,2
4. 사회과학,기사126,생활법률,3
4. 사회과학,균사121,노인복지론,3
4. 사회과학,기사127,법률문장론,3
4. 사회과학,균사122,장애인복지론,3
4. 사회과학,기사128,지적재산과 현대사회,3
4. 사회과학,균사124,사회복지 윤리와 철학,3
4. 사회과학,기사129,법과 제도,3
4. 사회과학,균사129,글로벌리더를 위한 글로벌매너,3
4. 사회과학,기사130,창업현장실습,5
4. 사회과학,균사136,한국의 경제와 비즈니스,3
4. 사회과학,기사131,창업현장실습,6
4. 사회과학,균사139,중국역사와 문화,2
4. 사회과학,기사132,다문화사회의 이해,3
4. 사회과학,균사142,인문지리학개론,2
4. 사회과학,기사135,저작권과 소프트웨어,3
4. 사회과학,균사150,현대사회와 스포츠,3
4. 사회과학,기사138,창업현장실습,8
4. 사회과학,균사153,현대사회와 리더십,3
4. 사회과학,기사140,경제학 들어가기,3
4. 사회과학,균사155,국제개발협력의 이해,3
4. 사회과학,기사145,유라시아의 이해,3
4. 사회과학,균사158,창의성과 창의적 리더십,3
4. 사회과학,기사146,북한의 이해,3
4. 사회과학,균사159,공무원과 법,3
4. 사회과학,기사148,모의벤처창업,3
4. 사회과학,균사161,대학생활과 저작권,3
4. 사회과학,기사149,아시아의 국제관계,3
4. 사회과학,균사162,부동산과 생활,3
4. 사회과학,기사150,아시아에서의 글로벌리더십,3
4. 사회과학,균사169,기업창업과 경영,3
4. 사회과학,기사151,글로벌경영과 마케팅,3
4. 사회과학,균사171,사례로 배우는 기업가정신과 창업,3
4. 사회과학,기사153,아시아문화 관광경영,3
