학년,교과목명,과목코드,학과코드,과목번호,학점,시간,담당교수,강좌번호,제한인원,요일,시작시간,종료시간,강의실,비고
2,컴퓨터하드웨어,컴공296,컴공,296,3,3,박정민,0729,35,화,14:00,16:50,Y5420,
2,컴퓨터하드웨어,컴공296,컴공,296,3,3,박정민,0730,38,목,09:00,11:50,Y5437,
2,AI프로그래밍,컴공201,컴공,201,3,3,한승철,0753,43,월,11:00,11:50,Y5407,
2,AI프로그래밍,컴공201,컴공,201,3,3,한승철,0753,43,수,11:00,12:50,Y5407,
2,AI프로그래밍,컴공201,컴공,201,3,3,김현준,0754,36,수,14:00,14:50,Y5401,
2,AI프로그래밍,컴공201,컴공,201,3,3,김현준,0754,36,금,13:00,14:50,Y5401,
3,기계학습,컴공472,컴공,472,3,3,현상원,0727,45,월,13:00,14:50,Y5445,IPP 우선수강
3,기계학습,컴공472,컴공,472,3,3,현상원,0727,45,수,13:00,13:50,Y5445,IPP 우선수강
3,기계학습,컴공472,컴공,472,3,3,현상원,0728,41,월,16:00,17:50,Y5445,
3,기계학습,컴공472,컴공,472,3,3,현상원,0728,41,수,14:00,14:50,Y5445,
3,컴퓨터아키텍처,컴공317,컴공,317,3,3,이명호,0731,36,화,13:00,14:50,Y5407,
3,컴퓨터아키텍처,컴공317,컴공,317,3,3,이명호,0731,36,목,14:00,14:50,Y5407,
3,컴퓨터아키텍처,컴공317,컴공,317,3,3,이명호,0732,39,화,15:00,16:50,Y5407,
3,컴퓨터아키텍처,컴공317,컴공,317,3,3,이명호,0732,39,목,15:00,15:50,Y5407,
3,데이터베이스,컴공402,컴공,402,3,3,안희철,0733,35,월,13:00,13:50,Y5420,
3,데이터베이스,컴공402,컴공,402,3,3,안희철,0733,35,수,13:00,14:50,Y5420,
3,운영체제,컴공406,컴공,406,3,3,류연승,0737,41,월,10:00,11:50,Y5411,
3,운영체제,컴공406,컴공,406,3,3,류연승,0737,41,수,10:00,10:50,Y5411,
3,운영체제,컴공406,컴공,406,3,3,류연승,0738,33,월,13:00,14:50,Y5411,
3,운영체제,컴공406,컴공,406,3,3,류연승,0738,33,수,11:00,11:50,Y5411,
3,운영체제,컴공406,컴공,406,3,3,신민호,0739,44,화,10:00,11:50,Y5420,
3,운영체제,컴공406,컴공,406,3,3,신민호,0739,44,목,13:00,13:50,Y5420,
3,컴퓨터네트워크,컴공410,컴공,410,3,3,박현민,0740,54,월,14:00,15:50,Y5420,
3,컴퓨터네트워크,컴공410,컴공,410,3,3,박현민,0740,54,수,15:00,15:50,Y5420,
3,소프트웨어공학,컴공447,컴공,447,3,3,김성환,0744,44,월,18:00,20:50,Y5437,
3,소프트웨어공학,컴공447,컴공,447,3,3,김길래,0745,41,수,18:00,20:50,Y5437,
3,소프트웨어공학,컴공447,컴공,447,3,3,김길래,0746,30,화,14:00,16:50,Y5401,
4,컴퓨터공학특론1,컴공403,컴공,403,3,3,김길래,0736,42,목,14:00,16:50,Y5401,
4,캡스톤디자인,컴공424,컴공,424,3,3,김직수,0741,31,월,13:00,15:50,Y5441,
4,캡스톤디자인,컴공424,컴공,424,3,3,김상귀,0742,33,월,17:00,19:50,Y5411,
4,캡스톤디자인,컴공424,컴공,424,3,3,안희철,0743,32,월,17:00,19:50,Y5441,IPP 일학습병행제 학생 우선 수강신청
4,캡스톤디자인,컴공424,컴공,424,3,3,김상귀,1297,20,수,17:00,19:50,Y5441,
4,4차산업혁명과기업가정신,컴공461,컴공,461,3,3,김상귀,0747,40,수,14:00,16:50,Y5441,
4,블록체인,컴공465,컴공,465,3,3,신민호,0748,57,화,13:00,15:50,Y5125,
4,블록체인,컴공465,컴공,465,3,3,신민호,0748,57,목,10:00,11:50,Y5120,
4,시스템클라우드보안,컴공473,컴공,473,3,3,조민경,0751,47,화,11:00,12:50,Y5445,IPP 일학습병행제 학생 우선 수강신청
4,시스템클라우드보안,컴공473,컴공,473,3,3,조민경,0751,47,목,11:00,11:50:00,Y5445,IPP 일학습병행제 학생 우선 수강신청
4,시스템클라우드보안,컴공473,컴공,473,3,3,현상원,0752,39,목,13:00,15:50,Y5445,
