학년,교과목명,과목코드,학과코드,과목번호,학점,시간,담당교수,강좌번호,제한인원,요일,시작시간,종료시간,강의실,비고
1,C언어,컴정101,컴정,101,3,3,고제욱,0714,35,월,10:00,12:50,Y5401,전공이해기초과정(컴퓨터공학전공)
1,C언어,컴정101,컴정,101,3,3,고제욱,0715,35,월,13:00,15:50,Y5401,전공이해기초과정(컴퓨터공학전공)
1,C언어,컴정101,컴정,101,3,3,조세형,0717,43,화,09:00,11:50,Y5407,전공이해기초과정(컴퓨터공학전공)
1,C언어,컴정101,컴정,101,3,3,김태연,0718,41,화,13:00,13:50,Y5609,전공이해기초과정(정보통신공학전공)
1,C언어,컴정101,컴정,101,3,3,김태연,0718,41,목,13:00,14:50,Y5609,전공이해기초과정(정보통신공학전공)
1,C언어,컴정101,컴정,101,3,3,김태연,0719,35,화,14:00,15:50,Y5609,전공이해기초과정(정보통신공학전공)
1,C언어,컴정101,컴정,101,3,3,김태연,0719,35,목,15:00,15:50,Y5609,전공이해기초과정(정보통신공학전공)
1,객체지향프로그래밍1,컴정102,컴정,102,3,3,배종우,0720,30,화,14:00,15:50,Y5534,
1,객체지향프로그래밍1,컴정102,컴정,102,3,3,배종우,0720,30,목,15:00,15:50,Y5534,
2,자료구조,컴정103,컴정,103,3,3,한승철,0721,40,월,13:00,14:50,Y5407,
2,자료구조,컴정103,컴정,103,3,3,한승철,0721,40,수,14:00,14:50,Y5407,
2,자료구조,컴정103,컴정,103,3,3,한승철,0722,41,월,15:00,16:50,Y5407,
2,자료구조,컴정103,컴정,103,3,3,한승철,0722,41,수,15:00,15:50,Y5407,
2,자료구조,컴정103,컴정,103,3,3,한승철,0723,40,월,17:00,17:50,Y5407,
2,자료구조,컴정103,컴정,103,3,3,한승철,0723,40,수,16:00,17:50,Y5407,
2,객체지향프로그래밍2,컴정104,컴정,104,3,3,조민경,0724,29,월,09:00,10:50,Y5445,
2,객체지향프로그래밍2,컴정104,컴정,104,3,3,조민경,0724,29,목,09:00,09:50,Y5445,
2,객체지향프로그래밍2,컴정104,컴정,104,3,3,고제욱,0725,31,월,16:00,18:50,Y5401,
2,객체지향프로그래밍2,컴정104,컴정,104,3,3,이충기,0726,28,화,09:00,11:50,Y5401,
