학과명|후수교과코드|후수교과목명|선수교과코드|선수교과목명|선·후수지정연도
컴퓨터공학과|JEJ02220|객체지향프로그래밍1|JEJ02211|C언어프로그래밍|2010
컴퓨터공학과|JEJ02316|알고리즘|JEJ02209|자료구조|2006
컴퓨터공학과|JEJ02410|컴퓨터네트워크|KME02108|이산수학개론|2013
컴퓨터공학과|JEJ02221|고급객체지향프로그래밍|JEJ02214|객체지향프로그래밍2|2012
컴퓨터공학과|JEJ02447|소프트웨어공학|JEA00100|공학입문설계|2009
컴퓨터공학과|JEJ02212|팀프로젝트1|JEA00100|공학입문설계|2012
컴퓨터공학과|JEJ02227|팀프로젝트2|JEA00100|공학입문설계|2012
컴퓨터공학과|JEJ02424|캡스톤디자인|JEA00100|공학입문설계|2010
컴퓨터공학과|JEJ02424|캡스톤디자인|JEJ02447|소프트웨어공학|2013
컴퓨터공학과|JEJ02318|시스템프로그래밍|JEJ02211|C언어프로그래밍|2012
컴퓨터공학과|JEJ02317|컴퓨터아키텍처|JEJ02296|컴퓨터하드웨어|2012
컴퓨터공학과|JEJ02322|데이터베이스설계|JEJ02402|데이터베이스|2012
컴퓨터공학과|JEJ02218|C언어연습|JEJ02211|C언어프로그래밍|2014
컴퓨터공학과|JEJ02465|블록체인|JEJ02451|컴퓨터보안|2019
